t_ms i_pApF mV
0 -1.85750798829274 -80
0.100000000005821 -1.89233286500437 -79.9559660163885
0.19999999999709 -1.82765814328286 -79.9119320327771
0.30000000000291 -1.86248301999449 -79.8678980491656
0.399999999994179 -1.91223276167763 -79.8238640655542
0.5 -1.88735783330262 -79.7798300819427
0.600000000005821 -1.97690748339914 -79.7357960983313
0.69999999999709 -1.94705775345615 -79.6917621147198
0.80000000000291 -1.92715762664913 -79.6477281311084
0.899999999994179 -1.94208272175439 -79.6036941474969
1 -1.95700758672589 -75.5966016388547
1.10000000000582 -2.33510585365148 -75.596599791792
1.19999999999709 -3.71317444620906 -75.5965979447294
1.30000000000291 -3.51417524934275 -75.5965960976668
1.39999999999418 -3.33507640941723 -75.5965942506042
1.5 -3.18085203759919 -75.5965924035415
1.60000000000582 -3.0166778325114 -75.5965905564789
1.69999999999709 -2.90225325403987 -75.5965887094163
1.80000000000291 -2.74802888222183 -75.5965868623537
1.89999999999418 -2.62365447048055 -75.596585015291
2 -2.54405488378753 -75.5964169325921
2.10000000000582 -2.39480554367124 -75.5964113269083
2.19999999999709 -2.33510585365148 -75.5964057212245
2.30000000000291 -2.22068127517995 -75.5964001155407
2.39999999999418 -2.07143216519742 -75.5963945098569
2.5 -2.13610688691894 -75.5963889041732
2.60000000000582 -2.05153226852417 -75.5963832984894
2.69999999999709 -2.02665734014916 -75.5963776928056
2.80000000000291 -1.97193245169739 -75.5963720871218
2.89999999999418 -1.89233286500437 -75.596366481438
3 -1.87740788496599 -75.5958563642134
3.10000000000582 -1.82765814328286 -75.5958468706318
3.19999999999709 -1.8077582466096 -75.5958373770502
3.30000000000291 -1.83760809161948 -75.5958278834686
3.39999999999418 -1.86248301999449 -75.595818389887
3.5 -1.81273316324448 -75.5958088963054
3.60000000000582 -1.76795833819621 -75.5957994027238
3.69999999999709 -1.77293336989797 -75.5957899091422
3.80000000000291 -1.71323356481132 -75.5957804155606
3.89999999999418 -1.7281585448497 -75.595770921979
4 -1.68338371980144 -75.5949070060537
4.10000000000582 -1.69830869983982 -75.5948937894281
4.19999999999709 -1.76298342156134 -75.5948805728026
4.30000000000291 -1.76795833819621 -75.594867356177
4.39999999999418 -1.71820859651308 -75.5948541395514
4.5 -1.7281585448497 -75.5948409229259
4.60000000000582 -1.7032836164747 -75.5948277063003
4.69999999999709 -1.6883587515032 -75.5948144896748
4.80000000000291 -1.7032836164747 -75.5948012730492
4.89999999999418 -1.70825864817645 -75.5947880564236
5 -1.77293336989797 -75.5935853434973
5.10000000000582 -1.66845885482994 -75.5935686384538
5.19999999999709 -1.67343377146482 -75.5935519334104
5.30000000000291 -1.67343377146482 -75.5935352283669
5.39999999999418 -1.69333366813807 -75.5935185233234
5.5 -1.66348382312819 -75.59350181828
5.60000000000582 -1.67343377146482 -75.5934851132365
5.69999999999709 -1.66845885482994 -75.593468408193
5.80000000000291 -1.69333366813807 -75.5934517031496
5.89999999999418 -1.65353387479156 -75.5934349981061
6 -1.69830869983982 -75.5919148391508
6.10000000000582 -1.68338371980144 -75.5918948938173
6.19999999999709 -1.64855895815669 -75.5918749484839
6.30000000000291 -1.70825864817645 -75.5918550031504
6.39999999999418 -1.70825864817645 -75.591835057817
6.5 -1.62865894641655 -75.5918151124835
6.60000000000582 -1.69333366813807 -75.5917951671501
6.69999999999709 -1.7032836164747 -75.5917752218166
6.80000000000291 -1.65353387479156 -75.5917552764832
6.89999999999418 -1.69333366813807 -75.5917353311497
7 -1.65850890649332 -75.5899203058055
7.10000000000582 -1.69830869983982 -75.5898973553003
7.19999999999709 -1.65850890649332 -75.5898744047952
7.30000000000291 -1.73313357655146 -75.58985145429
